datatype;member;accesstype;rule;comment;origin
transaction_t;t_need_data_flush;r;nolock;;include/linux/jbd2.h:543
transaction_t;t_need_data_flush;w;nolock;;include/linux/jbd2.h:543
transaction_t;t_journal;r;nolock;ro-member;include/linux/jbd2.h:543
transaction_t;t_journal;w;nolock;ro-member;include/linux/jbd2.h:543
transaction_t;t_private_list;r;nolock;;include/linux/jbd2.h:543
transaction_t;t_private_list;w;nolock;;include/linux/jbd2.h:543
super_block;s_op;r;nolock;ro-member;
super_block;s_op;w;nolock;ro-member;
super_block;s_umount;r;nolock;ro-member;
super_block;s_umount;w;nolock;ro-member;
super_block;s_type;r;nolock;ro-member;
super_block;s_type;w;nolock;ro-member;
suber_block;dq_op;r;nolock;ro-member;
suber_block;dq_op;w;nolock;ro-member;
suber_block;s_qcop;r;nolock;ro-member;
suber_block;s_qcop;w;nolock;ro-member;
suber_block;s_export_op;r;nolock;ro-member;
suber_block;s_export_op;w;nolock;ro-member;
suber_block;s_fs_info;r;nolock;ro-member;
suber_block;s_fs_info;w;nolock;ro-member;
backing_dev_info;ra_pages;r;nolock;ro-member;
backing_dev_info;ra_pages;w;nolock;ro-member;
backing_dev_info;name;r;nolock;ro-member;
backing_dev_info;name;w;nolock;ro-member;
backing_dev_info;dev;r;nolock;ro-member;
backing_dev_info;dev;w;nolock;ro-member;
backing_dev_info;wb_waitq;r;EMBSAME(wb_waitq);;
backing_dev_info;wb_waitq;w;EMBSAME(wb_waitq);;
block_device;bd_dev;r;nolock;ro-member;
block_device;bd_dev;w;nolock;ro-member;
block_device;bd_inode;r;nolock;ro-member;
block_device;bd_inode;w;nolock;ro-member;
block_device;bd_super;r;nolock;ro-member;
block_device;bd_super;w;nolock;ro-member;
block_device;bd_private;r;nolock;ro-member;
block_device;bd_private;w;nolock;ro-member;
cdev;ops;r;nolock;ro-member;
cdev;ops;w;nolock;ro-member;
bdi_writeback;bdi;r;nolock;ro-member;
bdi_writeback;bdi;w;nolock;ro-member;
inode;i_blocks;r;EMBSAME\(i_lock\);;include/linux/fs.h:591,fs/stack.c:460
inode;i_blocks;w;EMBSAME\(i_lock\);;include/linux/fs.h:591,fs/stack.c:460
inode;i_bytes;r;EMBSAME\(i_lock\);;include/linux/fs.h:591,fs/stack.c:460
inode;i_bytes;w;EMBSAME\(i_lock\);;include/linux/fs.h:591,fs/stack.c:460
inode;i_state;r;EMBSAME\(i_lock\);;fs/inode.c:27
inode;i_state;w;EMBSAME\(i_lock\);;fs/inode.c:27
inode;i_hash;r;[0-9]*\(raw_spinlock_t\) -> EMBSAME\(i_lock\);;fs/inode.c:27
inode;i_hash;w;[0-9]*\(raw_spinlock_t\) -> EMBSAME\(i_lock\);;fs/inode.c:27
inode;i_count;r;EMBSAME\(i_lock\);;fs/inode.c:1535
